SHA256,SHA1,MD5,FileName,Description
44f4f7aca7f1d9bfdaf7b3736934cbe19f851a707662f8f0b0c49b383e054250,,,Nimbus Manticore Operations,backdoor named MiniFast
0db36a04d304ad96f9e6f97b531934594cd95a5cea9ff2c9af249201089dc864,,,Nimbus Manticore Operations,backdoor named MiniFast
485f182f7b74ea4013b2539275a95d21e3a9bf0082c331937af9353a324b36f3,,,Nimbus Manticore Operations,backdoor named MiniFast
64530d7e6ee30e4a66d9eeed6b8595c33fd72f5f73409133ca40539e5695df4c,,,Nimbus Manticore Operations,backdoor named MiniFast
332ba2f0297dfb1599adecc3e9067893e7cf243aa23aedce4906a4c480574c17,,,Nimbus Manticore Operations,backdoor named MiniFast
9e4a658e6d831c9e9bdfe11884a75b7c64812ed0a80e8495ddf6b316505acac1,,,Nimbus Manticore Operations,backdoor named MiniFast
43dc62cef52ebdd69e79f10015b3e13890f26c058325c0ff139c70f8d8eadcfa,,,Nimbus Manticore Operations,backdoor named MiniFast
8808c794c24367438f183e4be941876f1d3ecd0c8d2eb43b10d2380841d2283b,,,Nimbus Manticore Operations,backdoor named MiniFast
5c3362d20229597d11380f56d1f2eb39647fb6afad7be8392a7abcd18dff12f8,,,Nimbus Manticore Operations,backdoor named MiniFast
0291ef318576953f7f3fe287e7775ed1d7c3206119dc7b9cd6d85c02779e6e40,,,Nimbus Manticore Operations,backdoor named MiniFast
d4a7e9f107fe40c1a5d0139c6c6e25bf6bf57f61feff090bee28f476bb3cc3c2,,,Nimbus Manticore Operations,backdoor named MiniFast
38bd137c672bd58d08c4f0502f993a6561e2c3411773d1ae57ee0151a0a9d11d,,,Nimbus Manticore Operations,backdoor named MiniFast
f54cd38632ac9da3af3533ae93e92625cbcb04df521dbf1b6acfaa81218f9e8c,,,Nimbus Manticore Operations,backdoor named MiniFast
b19e06da580cf91691eda066ac9ee4b09c6e5dc26c367af12660fe1f9306eec4,,,Nimbus Manticore Operations,backdoor named MiniFast
9cf029daca89523d917dafed0568d11d00e45ec96b5b90b4a1f7fd4018c7da84,,,Nimbus Manticore Operations,backdoor named MiniFast
a13ba3c5aff46e9daf2d23df4b3e3d49dc7236c207c56f0a1433051f3450d441,,,Nimbus Manticore Operations,backdoor named MiniFast
dfa1e3137a032ee8561a1cd5e1a0f71a10bebb36aef7c336c878638a9c1239ee,,,Nimbus Manticore Operations,backdoor named MiniFast
ecdc8fade561a75d68235859ad8b1fe131db2c458b4894268e38e90ecab1c47f,,,Banana RAT,Banking Trojan
38dfeb772afbd01c04eddda120d283acfb1147a6dc3d54ac62fe23ad06e39d8f,,,Banana RAT,Banking Trojan
4912b1134e69ade7266e8508eec33ccb2d80ad693f1dbc4f1f4344c6dfcf2ff1,,,Banana RAT,Banking Trojan
d7545b6dacebdae27effb3c778c5e349027ec789c76ae4f777bd9ba56a70cdaa,,,Banana RAT,Banking Trojan
ff81cb9263fcde5870a0748fd6af2d30a4ba864415c15ca14827d0dd723eb60c,,,Fake Gemini,Infosec Stealers
9c87e8162b39fbb773c416006b16f8e34aca53372d1b2d4a584df0ffc69ad333,,,Fake Gemini,Infosec Stealers
89d634c8471382ff9c6fd966008ad5c376d7a0edae8f799eb569837170f2373d,,,Fake Gemini,Infosec Stealers
be2ff065a232a3a6f187f9fb03a6c1b368dff3d2ba0966777b1f5503aa5ecd16,,,Fake Gemini,Infosec Stealers
a1c5e1d9bdc1a931c11ac6fdfdff1fbc69ff88521cf443cb174f9720a05fe72d,,,Fake Gemini,Infosec Stealers
bb78f024c4d8b5a6a128aacb498acad025a234a6b25fde36ff2e14601134555f,,,Fake Gemini,Infosec Stealers
a6525b37b0cc5339df375e17a0c10772b50c9d425001b0c3a9dada995c7f62dd,,,Fake Gemini,Infosec Stealers
b37ee243518221017bab0eb4b54b5431571cc21e54113698ce49a89b89993754,,,Fake Gemini,Infosec Stealers
